[2025-05-16 15:30:04,811] Forwarding module: linear module150, using bit[150] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module151, using bit[151] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module152, using bit[152] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module153, using bit[153] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module154, using bit[154] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module155, using bit[155] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module156, using bit[156] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module157, using bit[157] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module158, using bit[158] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module159, using bit[159] = 3.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module160, using bit[160] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module161, using bit[161] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module162, using bit[162] = 4.0000
[2025-05-16 15:30:04,811] Forwarding module: linear module163, using bit[163] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module164, using bit[164] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module165, using bit[165] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module166, using bit[166] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module167, using bit[167] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module168, using bit[168] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module169, using bit[169] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module170, using bit[170] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module171, using bit[171] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module172, using bit[172] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module173, using bit[173] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module174, using bit[174] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module175, using bit[175] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module176, using bit[176] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module177, using bit[177] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module178, using bit[178] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module179, using bit[179] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module180, using bit[180] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module181, using bit[181] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module182, using bit[182] = 4.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module183, using bit[183] = 3.0000
[2025-05-16 15:30:04,812] Forwarding module: linear module184, using bit[184] = 4.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module185, using bit[185] = 4.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module186, using bit[186] = 4.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module187, using bit[187] = 3.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module188, using bit[188] = 3.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module189, using bit[189] = 4.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module190, using bit[190] = 3.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module191, using bit[191] = 3.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module192, using bit[192] = 4.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module193, using bit[193] = 4.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module194, using bit[194] = 3.0000
[2025-05-16 15:30:04,813] Forwarding module: linear module195, using bit[195] = 3.0000
[2025-05-16 18:13:17,478] Quantized bit
[2025-05-16 18:13:17,478] Forwarding module: linear module0, using bit[0] = 4.5664
[2025-05-16 18:13:17,478] Forwarding module: linear module1, using bit[1] = 4.0312
[2025-05-16 18:13:17,478] Forwarding module: linear module2, using bit[2] = 3.7656
[2025-05-16 18:13:17,478] Forwarding module: linear module3, using bit[3] = 3.9395
[2025-05-16 18:13:17,478] Forwarding module: linear module4, using bit[4] = 2.5156
[2025-05-16 18:13:17,479] Forwarding module: linear module5, using bit[5] = 3.6953
[2025-05-16 18:13:17,479] Forwarding module: linear module6, using bit[6] = 4.3672
[2025-05-16 18:13:17,479] Forwarding module: linear module7, using bit[7] = 3.8398
[2025-05-16 18:13:17,479] Forwarding module: linear module8, using bit[8] = 3.7715
[2025-05-16 18:13:17,479] Forwarding module: linear module9, using bit[9] = 3.6992
[2025-05-16 18:13:17,479] Forwarding module: linear module10, using bit[10] = 4.6484
[2025-05-16 18:13:17,479] Forwarding module: linear module11, using bit[11] = 3.5000
[2025-05-16 18:13:17,479] Forwarding module: linear module12, using bit[12] = 2.6660
[2025-05-16 18:13:17,479] Forwarding module: linear module13, using bit[13] = 4.6992
[2025-05-16 18:13:17,479] Forwarding module: linear module14, using bit[14] = 4.5586
[2025-05-16 18:13:17,479] Forwarding module: linear module15, using bit[15] = 3.5020
[2025-05-16 18:13:17,479] Forwarding module: linear module16, using bit[16] = 4.5000
[2025-05-16 18:13:17,479] Forwarding module: linear module17, using bit[17] = 4.0312
[2025-05-16 18:13:17,479] Forwarding module: linear module18, using bit[18] = 2.8262
[2025-05-16 18:13:17,479] Forwarding module: linear module19, using bit[19] = 4.9219
[2025-05-16 18:13:17,479] Forwarding module: linear module20, using bit[20] = 3.7402
[2025-05-16 18:13:17,479] Forwarding module: linear module21, using bit[21] = 3.5234
[2025-05-16 18:13:17,479] Forwarding module: linear module22, using bit[22] = 3.5449
[2025-05-16 18:13:17,479] Forwarding module: linear module23, using bit[23] = 5.4023
[2025-05-16 18:13:17,479] Forwarding module: linear module24, using bit[24] = 3.5020
[2025-05-16 18:13:17,479] Forwarding module: linear module25, using bit[25] = 3.6445
[2025-05-16 18:13:17,480] Forwarding module: linear module26, using bit[26] = 3.5449
[2025-05-16 18:13:17,480] Forwarding module: linear module27, using bit[27] = 3.8750
[2025-05-16 18:13:17,480] Forwarding module: linear module28, using bit[28] = 4.4727
[2025-05-16 18:13:17,480] Forwarding module: linear module29, using bit[29] = 3.4238
[2025-05-16 18:13:17,480] Forwarding module: linear module30, using bit[30] = 4.5000
[2025-05-16 18:13:17,480] Forwarding module: linear module31, using bit[31] = 3.5195
[2025-05-16 18:13:17,480] Forwarding module: linear module32, using bit[32] = 3.5234
[2025-05-16 18:13:17,480] Forwarding module: linear module33, using bit[33] = 4.5859
[2025-05-16 18:13:17,480] Forwarding module: linear module34, using bit[34] = 3.5059
[2025-05-16 18:13:17,480] Forwarding module: linear module35, using bit[35] = 4.7656
[2025-05-16 18:13:17,480] Forwarding module: linear module36, using bit[36] = 4.0898
[2025-05-16 18:13:17,480] Forwarding module: linear module37, using bit[37] = 4.1719
[2025-05-16 18:13:17,480] Forwarding module: linear module38, using bit[38] = 4.0625
[2025-05-16 18:13:17,480] Forwarding module: linear module39, using bit[39] = 3.8867
[2025-05-16 18:13:17,480] Forwarding module: linear module40, using bit[40] = 4.6523
[2025-05-16 18:13:17,480] Forwarding module: linear module41, using bit[41] = 3.5195
[2025-05-16 18:13:17,480] Forwarding module: linear module42, using bit[42] = 4.7227
[2025-05-16 18:13:17,480] Forwarding module: linear module43, using bit[43] = 4.5430
[2025-05-16 18:13:17,480] Forwarding module: linear module44, using bit[44] = 4.6602
[2025-05-16 18:13:17,480] Forwarding module: linear module45, using bit[45] = 3.6621
[2025-05-16 18:13:17,480] Forwarding module: linear module46, using bit[46] = 3.5000
[2025-05-16 18:13:17,481] Forwarding module: linear module47, using bit[47] = 4.5703
[2025-05-16 18:13:17,481] Forwarding module: linear module48, using bit[48] = 3.6680
[2025-05-16 18:13:17,481] Forwarding module: linear module49, using bit[49] = 2.5000
[2025-05-16 18:13:17,481] Forwarding module: linear module50, using bit[50] = 3.5527
[2025-05-16 18:13:17,481] Forwarding module: linear module51, using bit[51] = 4.2266
[2025-05-16 18:13:17,481] Forwarding module: linear module52, using bit[52] = 3.4492
[2025-05-16 18:13:17,481] Forwarding module: linear module53, using bit[53] = 5.0625
[2025-05-16 18:13:17,481] Forwarding module: linear module54, using bit[54] = 4.5000
[2025-05-16 18:13:17,481] Forwarding module: linear module55, using bit[55] = 4.4219
[2025-05-16 18:13:17,481] Forwarding module: linear module56, using bit[56] = 3.8184
[2025-05-16 18:13:17,481] Forwarding module: linear module57, using bit[57] = 3.2871
[2025-05-16 18:13:17,481] Forwarding module: linear module58, using bit[58] = 4.6797
[2025-05-16 18:13:17,481] Forwarding module: linear module59, using bit[59] = 3.4629
[2025-05-16 18:13:17,481] Forwarding module: linear module60, using bit[60] = 3.6348
[2025-05-16 18:13:17,481] Forwarding module: linear module61, using bit[61] = 3.6055
[2025-05-16 18:13:17,481] Forwarding module: linear module62, using bit[62] = 4.5742
[2025-05-16 18:13:17,481] Forwarding module: linear module63, using bit[63] = 3.5586
[2025-05-16 18:13:17,481] Forwarding module: linear module64, using bit[64] = 4.5703
[2025-05-16 18:13:17,481] Forwarding module: linear module65, using bit[65] = 3.5000
[2025-05-16 18:13:17,481] Forwarding module: linear module66, using bit[66] = 3.5176
[2025-05-16 18:13:17,481] Forwarding module: linear module67, using bit[67] = 3.7109
[2025-05-16 18:13:17,482] Forwarding module: linear module68, using bit[68] = 3.2168
[2025-05-16 18:13:17,482] Forwarding module: linear module69, using bit[69] = 3.8047
[2025-05-16 18:13:17,482] Forwarding module: linear module70, using bit[70] = 3.7871
[2025-05-16 18:13:17,482] Forwarding module: linear module71, using bit[71] = 4.0195
[2025-05-16 18:13:17,482] Forwarding module: linear module72, using bit[72] = 3.8145
[2025-05-16 18:13:17,482] Forwarding module: linear module73, using bit[73] = 3.0840
[2025-05-16 18:13:17,482] Forwarding module: linear module74, using bit[74] = 3.5371
[2025-05-16 18:13:17,482] Forwarding module: linear module75, using bit[75] = 3.5000
[2025-05-16 18:13:17,482] Forwarding module: linear module76, using bit[76] = 3.5000
[2025-05-16 18:13:17,482] Forwarding module: linear module77, using bit[77] = 4.4766
[2025-05-16 18:13:17,482] Forwarding module: linear module78, using bit[78] = 3.4980
[2025-05-16 18:13:17,482] Forwarding module: linear module79, using bit[79] = 3.0762
[2025-05-16 18:13:17,482] Forwarding module: linear module80, using bit[80] = 3.6875
[2025-05-16 18:13:17,482] Forwarding module: linear module81, using bit[81] = 3.0527
[2025-05-16 18:13:17,482] Forwarding module: linear module82, using bit[82] = 4.5000
[2025-05-16 18:13:17,482] Forwarding module: linear module83, using bit[83] = 3.3359
[2025-05-16 18:13:17,482] Forwarding module: linear module84, using bit[84] = 4.6289
[2025-05-16 18:13:17,482] Forwarding module: linear module85, using bit[85] = 3.4199
[2025-05-16 18:13:17,482] Forwarding module: linear module86, using bit[86] = 4.6523
[2025-05-16 18:13:17,482] Forwarding module: linear module87, using bit[87] = 3.6074
[2025-05-16 18:13:17,482] Forwarding module: linear module88, using bit[88] = 3.5234
[2025-05-16 18:13:17,483] Forwarding module: linear module89, using bit[89] = 4.4961
[2025-05-16 18:13:17,483] Forwarding module: linear module90, using bit[90] = 4.5859
[2025-05-16 18:13:17,483] Forwarding module: linear module91, using bit[91] = 3.5820
[2025-05-16 18:13:17,483] Forwarding module: linear module92, using bit[92] = 3.5000
[2025-05-16 18:13:17,483] Forwarding module: linear module93, using bit[93] = 5.1211
[2025-05-16 18:13:17,483] Forwarding module: linear module94, using bit[94] = 3.6953
[2025-05-16 18:13:17,483] Forwarding module: linear module95, using bit[95] = 3.6055
[2025-05-16 18:13:17,483] Forwarding module: linear module96, using bit[96] = 3.9707
[2025-05-16 18:13:17,483] Forwarding module: linear module97, using bit[97] = 4.1523
[2025-05-16 18:13:17,483] Forwarding module: linear module98, using bit[98] = 3.6953
[2025-05-16 18:13:17,483] Forwarding module: linear module99, using bit[99] = 3.6641
[2025-05-16 18:13:17,483] Forwarding module: linear module100, using bit[100] = 3.8750
[2025-05-16 18:13:17,483] Forwarding module: linear module101, using bit[101] = 4.5586
[2025-05-16 18:13:17,483] Forwarding module: linear module102, using bit[102] = 3.3672
[2025-05-16 18:13:17,483] Forwarding module: linear module103, using bit[103] = 3.5605
[2025-05-16 18:13:17,483] Forwarding module: linear module104, using bit[104] = 4.7852
